"Generations","Abundance"
1,1000
2,1490
3,2212.799
4,3270.23370585599
5,4798.40627387482
6,6967.36238312062
7,9965.60218890368
8,13955.2710134807
9,18985.4106296241
10,24873.6577766817
11,31123.4981531078
12,36998.5258567967
13,41808.8796294345
14,45233.4952854663
15,47389.5519707964
16,48626.6315962665
17,49294.4543904095
18,49642.2492491326
19,49819.8447685689
20,49909.5978252103
21,49954.7171870731
22,49977.3380882051
23,49988.6639084801
24,49994.3306691703
25,49997.165013172
26,49998.5824262145
27,49999.2911930121
28,49999.645591482
29,49999.8227944849
30,49999.9113969285
31,49999.9556983857
32,49999.9778491732
33,49999.9889245817
34,49999.9944622896
35,49999.9972311445
36,49999.9986155722
37,49999.9993077861
38,49999.999653893
39,49999.9998269465
40,49999.9999134733
